d,p,c,o,f,g,weight,coef_estimates
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.0163433714694953,8.722378615513339
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.0176523973623186,2.7124889980336255
d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II,0.0366624782059202,12.24321397968873
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Saccharospirillaceae, g__Oleispira,0.005073666088570102,-3.4630886910346197
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.05425532140858518,-7.262726408008394
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.006797595938034934,4.405864798881126
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__S25-593, g__S25-593,0.020496926468458396,-4.0831511932506555
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Arctic97B-4_marine_group, f__Arctic97B-4_marine_group, g__Arctic97B-4_marine_group,0.007293833320096294,0.968339801502025
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.18697646229650386,-54.38296328616321
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.005141102392668368,-0.4218060237283069
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae, g__uncultured,0.02911273994585037,-8.438564530991368
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.01622143809980714,15.305536800872078
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.03728033052240376,-3.6177126546090643
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.03808905543555394,-19.175560244730207
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.002253820042065062,1.448358971295381
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.4974117725498251,-35.49548275018538
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Microtrichaceae, g__Sva0996_marine_group,0.0024576647975054853,-0.3387067778040196
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,0.07320711609132693,-6.406683180635903
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.021095244187486553,-5.103860980988717
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.4398972767458328,31.81511908860248
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Cryomorphaceae, g__uncultured,0.00783427580539035,-3.6553241200838773
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.027760703046473708,-2.6815146677361983
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__Coraliomargarita,0.004938033676657427,-3.2884386140740167
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Steroidobacterales, f__Woeseiaceae, g__Woeseia,0.006288658456811225,-0.7069116667259021
d__Bacteria, p__Chloroflexi, c__Dehalococcoidia, o__SAR202_clade, f__SAR202_clade, g__SAR202_clade,0.006985770248695524,-1.6611907914482669
d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade),0.013780026369724604,0.3824022457072035
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.005180153291426439,-0.6586998278625038
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,0.053202722661360224,-15.989354308463085
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group,0.005214398491877326,-0.4655390278874729
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_IV, g__Clade_IV,0.02779417207767126,-11.900601430741792
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.06440044079706984,10.95797581473528
d__Bacteria, p__SAR324_clade(Marine_group_B), c__SAR324_clade(Marine_group_B), o__SAR324_clade(Marine_group_B), f__SAR324_clade(Marine_group_B), g__SAR324_clade(Marine_group_B),0.007297214563507406,-5.285094643805435
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiomicrospirales, f__Thioglobaceae, g__SUP05_cluster,0.12149076536530459,-45.82315158082352
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Crocinitomicaceae, g__Fluviicola,0.04753442646941293,2.2817921610205922
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.03042588089536668,-19.02300487959557
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,0.7094692136758759,-18.530335485562638
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group,0.004823089324410799,-0.7267848198681621
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,0.10375353136254287,-29.610675659145073
d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Actinomarinales, f__Actinomarinaceae, g__Candidatus_Actinomarina,0.08949438025146689,-6.90772164386656
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Parvibaculales, f__Parvibaculaceae, g__uncultured,0.009235737945512254,-6.640636702457424
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,0.007008388484195179,-1.9261604854835466
d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Rubritaleaceae, g__Roseibacillus,0.005034474990367369,-2.053403908530343
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS2b_marine_group,0.3293398173664351,161.1132146330923
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS5_marine_group,0.010048304089399357,1.756404787434736
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Lentibacter,0.016711567596489174,-2.7167960717590733
d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Cryomorphaceae, g__uncultured,0.009274756850963593,-2.169961146741562
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,0.01624023818642109,-4.1389964984533165
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,0.2854452145497568,12.433557235771733
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.12197000064314739,-14.138343858234169
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade,0.21029297778992653,-10.467437041074382
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.0016443430206893892,2.0436283472792574
d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Spongiibacteraceae, g__BD1-7_clade,0.005919804826333526,-7.173729474664019
d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Thalassobaculales, f__Nisaeaceae, g__OM75_clade,0.018051057512769284,5.629730771110811
d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,0.01627342543122813,-0.07999686434457032
